segment_type,horizon_min,n_nonempty,global_outlier_pct,mean_outlier_pct_nonempty,median_outlier_pct_nonempty,p95_outlier_pct_nonempty,p99_outlier_pct_nonempty,fail_outlier_gt_2_pct,fail_outlier_gt_5_pct,fail_duplicate_gt_10_pct,fail_rr_count_lt_200_pct,fail_min_rr_lt_250_pct,fail_max_rr_gt_2500_pct,fail_any_rule_pct,p1_min_rr_ms,p99_max_rr_ms
afib,10,388,0.43565850221191715,0.29320999823471994,0.0,1.7437814850227602,4.561047546402224,3.608247422680412,1.0309278350515463,12.628865979381443,13.402061855670103,30.670103092783506,0.7731958762886598,25.257731958762886,200.0,2271.95
afib,20,388,0.34031102845158484,0.24337523105707776,0.0,1.1712229366998967,4.414613453428448,3.0927835051546393,1.0309278350515463,12.371134020618557,13.402061855670103,39.69072164948454,2.0618556701030926,25.0,200.0,3681.949999999993
afib,30,388,0.2982377763426782,0.23281349512041175,0.0,0.9206456863808961,4.024456080293099,3.0927835051546393,0.7731958762886598,11.855670103092782,13.402061855670103,42.78350515463917,2.8350515463917527,24.22680412371134,200.0,5000.0
afib,60,388,0.24388802114915015,0.22392588211230707,0.012891297192035345,0.8831109934424899,3.2297425762832153,2.5773195876288657,1.0309278350515463,11.597938144329897,13.402061855670103,51.03092783505154,3.865979381443299,24.22680412371134,200.0,5000.0
afib,120,388,0.1874522407712121,0.21139551851962096,0.020135640888500866,0.6970065119214662,3.2210210237007315,2.3195876288659796,1.0309278350515463,10.56701030927835,13.402061855670103,59.5360824742268,5.670103092783505,23.195876288659793,200.0,5000.65
afib,180,388,0.1854414890428348,0.2148493603625257,0.018680969073165896,0.7834348117601067,3.2210210237007315,2.5773195876288657,1.0309278350515463,10.56701030927835,13.402061855670103,62.11340206185567,7.989690721649484,23.195876288659793,194.8,5005.65
both,10,388,0.3694838055862202,0.2931928069434669,0.0,1.36830109731963,5.243752784835047,3.350515463917526,1.2886597938144329,20.103092783505154,0.0,43.55670103092783,2.0618556701030926,21.391752577319586,200.0,2708.2499999999977
both,20,388,0.3026129922632733,0.25131533700373404,0.031089694517774817,0.9976845805580943,4.230445236089174,3.0927835051546393,0.5154639175257731,19.329896907216497,0.0,56.95876288659794,4.123711340206185,19.84536082474227,200.0,5037.049999999998
both,30,388,0.28063053341210276,0.24139157316736742,0.041377894590680295,0.8948445514188421,3.939512405296302,2.8350515463917527,0.25773195876288657,21.1340206185567,0.0,62.88659793814433,5.412371134020619,21.391752577319586,200.0,5037.049999999998
both,60,388,0.2633975434403781,0.24498387536329821,0.053056682240952634,1.0058306257536003,3.261446598835037,2.8350515463917527,0.25773195876288657,23.45360824742268,0.0,78.09278350515464,9.02061855670103,23.711340206185564,200.0,5529.999999999998
both,120,388,0.24384325435362017,0.23921034618035775,0.05841706199090535,1.09210506066763,2.5683539288479396,1.2886597938144329,0.0,23.195876288659793,0.0,87.88659793814433,14.175257731958762,23.195876288659793,160.0,5529.999999999998
both,180,388,0.2381624892032732,0.2381546573538187,0.059690949185646665,1.187919105757509,2.10846281757285,1.2886597938144329,0.0,23.195876288659793,0.0,93.04123711340206,17.525773195876287,23.195876288659793,152.85,6043.849999999999
pre_afib,10,364,0.2876865806498247,0.21982525355702678,0.0,1.136781334476163,3.775844466167055,2.7472527472527473,0.8241758241758242,35.16483516483517,0.0,28.021978021978022,1.3736263736263736,35.989010989010985,200.0,2605.3500000000004
pre_afib,20,364,0.25951181375955523,0.20353292215216232,0.0,1.031177359590642,4.329401088929224,2.197802197802198,0.8241758241758242,37.08791208791209,0.0,40.65934065934066,2.4725274725274726,37.91208791208791,200.0,3346.300000000002
pre_afib,30,364,0.2613057520034857,0.2078784928496819,0.0,0.8720699127207019,4.2248379298978165,2.4725274725274726,0.27472527472527475,38.18681318681318,0.0,48.35164835164835,3.021978021978022,38.46153846153847,200.0,4152.650000000006
pre_afib,60,364,0.2831135718376824,0.2398809470118022,0.036649476948335216,1.15202077273214,3.61158948648153,2.7472527472527473,0.27472527472527475,38.73626373626374,0.0,63.46153846153846,6.043956043956044,39.010989010989015,200.0,5172.050000000002
pre_afib,120,364,0.29406103837618014,0.26409302303391413,0.050614544213042,1.24947506122137,2.430785680608879,2.7472527472527473,0.27472527472527475,40.10989010989011,0.0,78.84615384615384,11.263736263736265,40.38461538461539,160.0,5175.200000000003
pre_afib,180,364,0.2804059840448785,0.2632863880436148,0.05216684557773969,1.4044210373242378,2.436394901595257,1.6483516483516485,0.0,39.56043956043956,0.0,86.26373626373626,13.736263736263737,39.56043956043956,160.0,5987.200000000001
